width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,wid
,,,,,,,,,,,askforPermission,6840,.50,,,,,,,,,,w614cdc8
,,,,,,,,,,,askforPermission,2413,.50,,,,,,,,,,w49099cd
,,,,,,,,,,,askforPermission,4885,.50,,,,,,,,,,wab4f61a
,,,,,,,,,,,askforPermission,24305,.25,,,,,,,,,,wa2400fe
,,,,,,,,,,,askforPermission,5920,.50,,,,,,,,,,we74d609
,,,,,,,,,,,askforPermission,8293,.25,,,,,,,,,,wec34513
,,,,,,,,,,,askforPermission,8277,.25,,,,,,,,,,w3b06b11
,,,,,,,,,,,askforPermission,16234,.25,,,,,,,,,,wa900b3a
,,,,,,,,,,,askforPermission,3727,.25,,,,,,,,,,w56a4125
,,,,,,,,,,,askforPermission,18066,.50,,,,,,,,,,w44f295b
,,,,,,,,,,,askforPermission,4066,.25,,,,,,,,,,w19aedb5
,,,,,,,,,,,askforPermission,8026,.50,,,,,,,,,,w6bd8020
,,,,,,,,,,,askforPermission,12901,.25,,,,,,,,,,w110f64d
