width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,wid
,,,,,,,,,,,fullscreen,20796,.25,,,,,,True,,,,w90b6a49
,,,,,,,,,,,fullscreen,276341,.25,,,,,,True,,,,w90b6a49
,,,,,,,,,,,fullscreen,78203,.50,,,,,,True,,,,w1069836
,,,,,,,,,,,fullscreen,407419,.50,,,,,,True,,,,w1069836
,,,,,,,,,,,fullscreen,14130,.25,,,,,,True,,,,w0771b87
,,,,,,,,,,,fullscreen,278269,.25,,,,,,True,,,,w0771b87
,,,,,,,,,,,fullscreen,24215,.50,,,,,,True,,,,w40397a8
,,,,,,,,,,,fullscreen,268107,.50,,,,,,True,,,,w40397a8
,,,,,,,,,,,fullscreen,336630,.25,,,,,,True,,,,wf03474e
,,,,,,,,,,,fullscreen,764754,.25,,,,,,True,,,,wf03474e
,,,,,,,,,,,fullscreen,21401,.50,,,,,,True,,,,w614cdc8
,,,,,,,,,,,fullscreen,297939,.50,,,,,,True,,,,w614cdc8
,,,,,,,,,,,fullscreen,6536,.50,,,,,,True,,,,w49099cd
,,,,,,,,,,,fullscreen,277523,.50,,,,,,True,,,,w49099cd
,,,,,,,,,,,fullscreen,27723,.50,,,,,,True,,,,wab4f61a
,,,,,,,,,,,fullscreen,381902,.50,,,,,,True,,,,wab4f61a
,,,,,,,,,,,fullscreen,63037,.25,,,,,,True,,,,wa2400fe
,,,,,,,,,,,fullscreen,457830,.25,,,,,,True,,,,wa2400fe
,,,,,,,,,,,fullscreen,71480,.50,,,,,,True,,,,w13fbba7
,,,,,,,,,,,fullscreen,522351,.50,,,,,,True,,,,w13fbba7
,,,,,,,,,,,fullscreen,18199,.25,,,,,,True,,,,w12872e3
,,,,,,,,,,,fullscreen,463508,.25,,,,,,True,,,,w12872e3
,,,,,,,,,,,fullscreen,15202,.50,,,,,,True,,,,w764e1f2
,,,,,,,,,,,fullscreen,525525,.50,,,,,,True,,,,w764e1f2
,,,,,,,,,,,fullscreen,8824,.50,,,,,,True,,,,wb71f6f0
,,,,,,,,,,,fullscreen,552085,.50,,,,,,True,,,,wb71f6f0
,,,,,,,,,,,fullscreen,7351,.25,,,,,,True,,,,w7815325
,,,,,,,,,,,fullscreen,314585,.25,,,,,,True,,,,w7815325
,,,,,,,,,,,fullscreen,44328,.25,,,,,,True,,,,w3f91209
,,,,,,,,,,,fullscreen,420932,.25,,,,,,True,,,,w3f91209
,,,,,,,,,,,fullscreen,146976,.50,,,,,,True,,,,w9eb5e40
,,,,,,,,,,,fullscreen,756252,.50,,,,,,True,,,,w9eb5e40
,,,,,,,,,,,fullscreen,8795,.50,,,,,,True,,,,wd311d9f
,,,,,,,,,,,fullscreen,526453,.50,,,,,,True,,,,wd311d9f
,,,,,,,,,,,fullscreen,21330,.25,,,,,,True,,,,w480a190
,,,,,,,,,,,fullscreen,617288,.25,,,,,,True,,,,w480a190
,,,,,,,,,,,fullscreen,40743,.25,,,,,,True,,,,wced23a6
,,,,,,,,,,,fullscreen,397466,.25,,,,,,True,,,,wced23a6
,,,,,,,,,,,fullscreen,15496,.50,,,,,,True,,,,we74d609
,,,,,,,,,,,fullscreen,278326,.50,,,,,,True,,,,we74d609
,,,,,,,,,,,fullscreen,16986,.25,,,,,,True,,,,wec34513
,,,,,,,,,,,fullscreen,317029,.25,,,,,,True,,,,wec34513
,,,,,,,,,,,fullscreen,27626,.25,,,,,,True,,,,w3b06b11
,,,,,,,,,,,fullscreen,295832,.25,,,,,,True,,,,w3b06b11
,,,,,,,,,,,fullscreen,31212,.25,,,,,,True,,,,wa900b3a
,,,,,,,,,,,fullscreen,621474,.25,,,,,,True,,,,wa900b3a
,,,,,,,,,,,fullscreen,7216,.25,,,,,,True,,,,w56a4125
,,,,,,,,,,,fullscreen,249681,.25,,,,,,True,,,,w56a4125
,,,,,,,,,,,fullscreen,26723,.50,,,,,,True,,,,w44f295b
,,,,,,,,,,,fullscreen,296137,.50,,,,,,True,,,,w44f295b
,,,,,,,,,,,fullscreen,24501,.25,,,,,,True,,,,w19aedb5
,,,,,,,,,,,fullscreen,309519,.25,,,,,,True,,,,w19aedb5
,,,,,,,,,,,fullscreen,18632,.50,,,,,,True,,,,w6bd8020
,,,,,,,,,,,fullscreen,276338,.50,,,,,,True,,,,w6bd8020
,,,,,,,,,,,fullscreen,31972,.25,,,,,,True,,,,w110f64d
,,,,,,,,,,,fullscreen,834409,.25,,,,,,True,,,,w110f64d
