width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,wid
,,,,,,,,,,,html-button-response,18594,.25,,1222.0,,"<div style=""width: 45%; text-align: left; margin: auto;""><p><strong>For a preliminary adjustment, please consider the following instructions: </strong></p><ol><li>Sit at a table and make sure that you could later rest your elbows on it. </li><li>Sit towards a window or lamp so that there are no shadows on your face. You might additionally turn on a desk lamp for that. <u>Avoid</u> having a window behind you. </li></ol></div><img src=""static/images/lightInstruct.png"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">",0,,,,,w90b6a49
,,,,,,,,,,,html-button-response,21827,.25,,1031.0,,"
    <p>Now you'll calibrate the eye tracking, so that the software can use the image of your eyes to predict where you are looking.</p>
    <p>You'll see a series of dots appear on the screen. Look at each dot and click on it.</p>
    ",0,,,,,w90b6a49
,,,,,,,,,,,html-button-response,236598,.25,,1282.0,,"
    <p>Now we'll re-calibrate you. Once again, you'll see a series of dots appear on the screen. Look at each dot and click on it.</p>
    ",0,,,,,w90b6a49
,,,,,,,,,,,html-button-response,74993,.50,,13690.0,,"<div style=""width: 45%; text-align: left; margin: auto;""><p><strong>For a preliminary adjustment, please consider the following instructions: </strong></p><ol><li>Sit at a table and make sure that you could later rest your elbows on it. </li><li>Sit towards a window or lamp so that there are no shadows on your face. You might additionally turn on a desk lamp for that. <u>Avoid</u> having a window behind you. </li></ol></div><img src=""static/images/lightInstruct.png"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">",0,,,,,w1069836
,,,,,,,,,,,html-button-response,81160,.50,,2951.0,,"
    <p>Now you'll calibrate the eye tracking, so that the software can use the image of your eyes to predict where you are looking.</p>
    <p>You'll see a series of dots appear on the screen. Look at each dot and click on it.</p>
    ",0,,,,,w1069836
,,,,,,,,,,,html-button-response,325633,.50,,4443.0,,"
    <p>Now we'll re-calibrate you. Once again, you'll see a series of dots appear on the screen. Look at each dot and click on it.</p>
    ",0,,,,,w1069836
,,,,,,,,,,,html-button-response,10906,.25,,4424.0,,"<div style=""width: 45%; text-align: left; margin: auto;""><p><strong>For a preliminary adjustment, please consider the following instructions: </strong></p><ol><li>Sit at a table and make sure that you could later rest your elbows on it. </li><li>Sit towards a window or lamp so that there are no shadows on your face. You might additionally turn on a desk lamp for that. <u>Avoid</u> having a window behind you. </li></ol></div><img src=""static/images/lightInstruct.png"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">",0,,,,,w0771b87
,,,,,,,,,,,html-button-response,14956,.25,,824.0,,"
    <p>Now you'll calibrate the eye tracking, so that the software can use the image of your eyes to predict where you are looking.</p>
    <p>You'll see a series of dots appear on the screen. Look at each dot and click on it.</p>
    ",0,,,,,w0771b87
,,,,,,,,,,,html-button-response,232715,.25,,1154.0,,<p>The bonus amount you will receive is either -25 or +25 cents.</p>,0,,,,,w0771b87
,,,,,,,,,,,html-button-response,234165,.25,,1449.0,,"
    <p>Now we'll re-calibrate you. Once again, you'll see a series of dots appear on the screen. Look at each dot and click on it.</p>
    ",0,,,,,w0771b87
