width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,wid
,,,,,,,,,,,instructions,6780,.25,"[{'page_index': 0, 'viewing_time': 6285}]",6285.0,,,,,,,,w90b6a49
,,,,,,,,,,,instructions,81803,.25,"[{'page_index': 0, 'viewing_time': 1458}]",1458.0,,,,,,,,w90b6a49
,,,,,,,,,,,instructions,235315,.25,"[{'page_index': 0, 'viewing_time': 920}]",920.0,,,,,,,,w90b6a49
,,,,,,,,,,,instructions,2889,.50,"[{'page_index': 0, 'viewing_time': 1902}]",1903.0,,,,,,,,w1069836
,,,,,,,,,,,instructions,167105,.50,"[{'page_index': 0, 'viewing_time': 7138}]",7139.0,,,,,,,,w1069836
,,,,,,,,,,,instructions,373833,.50,"[{'page_index': 0, 'viewing_time': 6446}]",6447.0,,,,,,,,w1069836
,,,,,,,,,,,instructions,2063,.25,"[{'page_index': 0, 'viewing_time': 1567}]",1567.0,,,,,,,,w0771b87
,,,,,,,,,,,instructions,75156,.25,"[{'page_index': 0, 'viewing_time': 1097}]",1097.0,,,,,,,,w0771b87
,,,,,,,,,,,instructions,267507,.25,"[{'page_index': 0, 'viewing_time': 1754}]",1754.0,,,,,,,,w0771b87
,,,,,,,,,,,instructions,5253,.50,"[{'page_index': 0, 'viewing_time': 4752}]",4752.0,,,,,,,,w40397a8
,,,,,,,,,,,instructions,97078,.50,"[{'page_index': 0, 'viewing_time': 5096}]",5096.0,,,,,,,,w40397a8
,,,,,,,,,,,instructions,257413,.50,"[{'page_index': 0, 'viewing_time': 1272}]",1272.0,,,,,,,,w40397a8
,,,,,,,,,,,instructions,222268,.25,"[{'page_index': 0, 'viewing_time': 221241}]",221242.0,,,,,,,,wf03474e
,,,,,,,,,,,instructions,461923,.25,"[{'page_index': 0, 'viewing_time': 13363}]",13364.0,,,,,,,,wf03474e
,,,,,,,,,,,instructions,704583,.25,"[{'page_index': 0, 'viewing_time': 6278}]",6279.0,,,,,,,,wf03474e
,,,,,,,,,,,instructions,1840,.50,"[{'page_index': 0, 'viewing_time': 1345}]",1345.0,,,,,,,,w614cdc8
,,,,,,,,,,,instructions,102364,.50,"[{'page_index': 0, 'viewing_time': 1461}]",1461.0,,,,,,,,w614cdc8
,,,,,,,,,,,instructions,291388,.50,"[{'page_index': 0, 'viewing_time': 2106}]",2107.0,,,,,,,,w614cdc8
,,,,,,,,,,,instructions,1850,.50,"[{'page_index': 0, 'viewing_time': 848}]",848.0,,,,,,,,w49099cd
,,,,,,,,,,,instructions,69764,.50,"[{'page_index': 0, 'viewing_time': 3407}]",3407.0,,,,,,,,w49099cd
,,,,,,,,,,,instructions,248027,.50,"[{'page_index': 0, 'viewing_time': 2058}]",2058.0,,,,,,,,w49099cd
,,,,,,,,,,,instructions,2068,.50,"[{'page_index': 0, 'viewing_time': 1276}]",1276.0,,,,,,,,wab4f61a
,,,,,,,,,,,instructions,108847,.50,"[{'page_index': 0, 'viewing_time': 10813}]",10813.0,,,,,,,,wab4f61a
,,,,,,,,,,,instructions,316588,.50,"[{'page_index': 0, 'viewing_time': 4055}]",4055.0,,,,,,,,wab4f61a
,,,,,,,,,,,instructions,17713,.25,"[{'page_index': 0, 'viewing_time': 16706}]",16706.0,,,,,,,,wa2400fe
,,,,,,,,,,,instructions,185527,.25,"[{'page_index': 0, 'viewing_time': 18767}]",18767.0,,,,,,,,wa2400fe
,,,,,,,,,,,instructions,346275,.25,"[{'page_index': 0, 'viewing_time': 13824}]",13824.0,,,,,,,,wa2400fe
,,,,,,,,,,,instructions,21531,.50,"[{'page_index': 0, 'viewing_time': 20511}]",20512.0,,,,,,,,w13fbba7
,,,,,,,,,,,instructions,235738,.50,"[{'page_index': 0, 'viewing_time': 62038}]",62038.0,,,,,,,,w13fbba7
,,,,,,,,,,,instructions,470799,.50,"[{'page_index': 0, 'viewing_time': 8195}]",8195.0,,,,,,,,w13fbba7
,,,,,,,,,,,instructions,5570,.25,"[{'page_index': 0, 'viewing_time': 3700}]",3701.0,,,,,,,,w12872e3
,,,,,,,,,,,instructions,142600,.25,"[{'page_index': 0, 'viewing_time': 10436}]",10436.0,,,,,,,,w12872e3
,,,,,,,,,,,instructions,381136,.25,"[{'page_index': 0, 'viewing_time': 5088}]",5088.0,,,,,,,,w12872e3
,,,,,,,,,,,instructions,9622,.50,"[{'page_index': 0, 'viewing_time': 8616}]",8617.0,,,,,,,,w764e1f2
,,,,,,,,,,,instructions,269909,.50,"[{'page_index': 0, 'viewing_time': 1575}]",1575.0,,,,,,,,w764e1f2
,,,,,,,,,,,instructions,422408,.50,"[{'page_index': 0, 'viewing_time': 1596}]",1596.0,,,,,,,,w764e1f2
,,,,,,,,,,,instructions,3998,.50,"[{'page_index': 0, 'viewing_time': 3008}]",3008.0,,,,,,,,wb71f6f0
,,,,,,,,,,,instructions,184544,.50,"[{'page_index': 0, 'viewing_time': 1225}]",1225.0,,,,,,,,wb71f6f0
,,,,,,,,,,,instructions,519593,.50,"[{'page_index': 0, 'viewing_time': 1215}]",1215.0,,,,,,,,wb71f6f0
,,,,,,,,,,,instructions,2709,.25,"[{'page_index': 0, 'viewing_time': 1713}]",1714.0,,,,,,,,w7815325
,,,,,,,,,,,instructions,89177,.25,"[{'page_index': 0, 'viewing_time': 872}]",873.0,,,,,,,,w7815325
,,,,,,,,,,,instructions,273489,.25,"[{'page_index': 0, 'viewing_time': 1118}]",1119.0,,,,,,,,w7815325
,,,,,,,,,,,instructions,15520,.25,"[{'page_index': 0, 'viewing_time': 13528}]",13528.0,,,,,,,,w3f91209
,,,,,,,,,,,instructions,166800,.25,"[{'page_index': 0, 'viewing_time': 8352}]",8352.0,,,,,,,,w3f91209
,,,,,,,,,,,instructions,387895,.25,"[{'page_index': 0, 'viewing_time': 4079}]",4080.0,,,,,,,,w3f91209
,,,,,,,,,,,instructions,13514,.50,"[{'page_index': 0, 'viewing_time': 12496}]",12497.0,,,,,,,,w9eb5e40
,,,,,,,,,,,instructions,308173,.50,"[{'page_index': 0, 'viewing_time': 30363}]",30363.0,,,,,,,,w9eb5e40
,,,,,,,,,,,instructions,597189,.50,"[{'page_index': 0, 'viewing_time': 10033}]",10033.0,,,,,,,,w9eb5e40
,,,,,,,,,,,instructions,3076,.50,"[{'page_index': 0, 'viewing_time': 2065}]",2065.0,,,,,,,,wd311d9f
,,,,,,,,,,,instructions,209931,.50,"[{'page_index': 0, 'viewing_time': 11046}]",11046.0,,,,,,,,wd311d9f
,,,,,,,,,,,instructions,486871,.50,"[{'page_index': 0, 'viewing_time': 6252}]",6252.0,,,,,,,,wd311d9f
,,,,,,,,,,,instructions,9370,.25,"[{'page_index': 0, 'viewing_time': 8374}]",8374.0,,,,,,,,w480a190
,,,,,,,,,,,instructions,120777,.25,"[{'page_index': 0, 'viewing_time': 4129}]",4129.0,,,,,,,,w480a190
,,,,,,,,,,,instructions,479248,.25,"[{'page_index': 0, 'viewing_time': 6175}]",6175.0,,,,,,,,w480a190
,,,,,,,,,,,instructions,33502,.25,"[{'page_index': 0, 'viewing_time': 32080}]",32081.0,,,,,,,,wced23a6
,,,,,,,,,,,instructions,122773,.25,"[{'page_index': 0, 'viewing_time': 25797}]",25798.0,,,,,,,,wced23a6
,,,,,,,,,,,instructions,353892,.25,"[{'page_index': 0, 'viewing_time': 11174}]",11175.0,,,,,,,,wced23a6
,,,,,,,,,,,instructions,3620,.50,"[{'page_index': 0, 'viewing_time': 1462}, {'page_index': 1, 'viewing_time': 1011}]",2480.0,,,,,,,,we74d609
,,,,,,,,,,,instructions,73559,.50,"[{'page_index': 0, 'viewing_time': 1014}]",1017.0,,,,,,,,we74d609
,,,,,,,,,,,instructions,213371,.50,"[{'page_index': 0, 'viewing_time': 902}]",904.0,,,,,,,,we74d609
,,,,,,,,,,,instructions,5671,.25,"[{'page_index': 0, 'viewing_time': 3187}, {'page_index': 1, 'viewing_time': 1495}]",4682.0,,,,,,,,wec34513
,,,,,,,,,,,instructions,90058,.25,"[{'page_index': 0, 'viewing_time': 9000}]",9000.0,,,,,,,,wec34513
,,,,,,,,,,,instructions,265728,.25,"[{'page_index': 0, 'viewing_time': 3223}]",3223.0,,,,,,,,wec34513
,,,,,,,,,,,instructions,5983,.25,"[{'page_index': 0, 'viewing_time': 2274}, {'page_index': 1, 'viewing_time': 2697}]",4971.0,,,,,,,,w3b06b11
,,,,,,,,,,,instructions,99672,.25,"[{'page_index': 0, 'viewing_time': 4503}]",4503.0,,,,,,,,w3b06b11
,,,,,,,,,,,instructions,269983,.25,"[{'page_index': 0, 'viewing_time': 3683}]",3683.0,,,,,,,,w3b06b11
,,,,,,,,,,,instructions,9642,.25,"[{'page_index': 0, 'viewing_time': 3010}, {'page_index': 1, 'viewing_time': 2688}]",5699.0,,,,,,,,wa900b3a
,,,,,,,,,,,instructions,107499,.25,"[{'page_index': 0, 'viewing_time': 10017}]",10018.0,,,,,,,,wa900b3a
,,,,,,,,,,,instructions,577539,.25,"[{'page_index': 0, 'viewing_time': 39045}]",39045.0,,,,,,,,wa900b3a
,,,,,,,,,,,instructions,3245,.25,"[{'page_index': 0, 'viewing_time': 1253}, {'page_index': 1, 'viewing_time': 889}]",2144.0,,,,,,,,w56a4125
,,,,,,,,,,,instructions,51922,.25,"[{'page_index': 0, 'viewing_time': 922}]",923.0,,,,,,,,w56a4125
,,,,,,,,,,,instructions,208420,.25,"[{'page_index': 0, 'viewing_time': 5653}]",5654.0,,,,,,,,w56a4125
,,,,,,,,,,,instructions,17120,.50,"[{'page_index': 0, 'viewing_time': 15241}, {'page_index': 1, 'viewing_time': 895}]",16137.0,,,,,,,,w44f295b
,,,,,,,,,,,instructions,88463,.50,"[{'page_index': 0, 'viewing_time': 1157}]",1157.0,,,,,,,,w44f295b
