wid,startTime,completed,bonus,version
w19aedb5,Wed Apr 26 2023 20:27:58 GMT+0530 (India Standard Time),True,0.25,1.0
wd7d555c,Sat Apr 22 2023 13:49:09 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w66b4f42,Mon Apr 24 2023 02:59:13 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
wb89dc83,Mon Apr 24 2023 20:05:08 GMT-0500 (Colombia Standard Time),True,0.5,1.0
w5fbe09b,Wed Apr 26 2023 08:35:08 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w7387fe5,Sun Apr 23 2023 22:42:24 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w621b5fe,Sat Apr 22 2023 14:18:31 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w36b402b,Sun Apr 23 2023 21:41:46 GMT-0500 (GMT-05:00),True,0.5,1.0
w0d5f52d,Mon Apr 24 2023 21:01:01 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w0ee1ec4,Mon Apr 24 2023 03:56:01 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wf10bdfd,Sat Apr 22 2023 16:05:26 GMT-0500 (Central Daylight Time),True,0.25,1.0
wb71f6f0,Mon Apr 24 2023 23:48:47 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w5c90647,Mon Apr 24 2023 22:05:45 GMT-0500 (GMT-05:00),True,0.5,1.0
w9442a62,Mon Apr 24 2023 22:08:23 GMT-0400 (Paraguay Standard Time),True,0.25,1.0
w913ff6f,Mon Apr 24 2023 19:23:01 GMT-0700 (Pacific Daylight Time),True,0.5,1.0
wf37b15d,Sun Apr 23 2023 23:15:26 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wf659608,Mon Apr 24 2023 19:54:00 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
we74d609,Wed Apr 26 2023 23:29:28 GMT+0530 (India Standard Time),True,0.25,1.0
w9079299,Mon Apr 24 2023 00:29:55 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w1265652,Sun Apr 23 2023 21:44:56 GMT-0500 (Central Daylight Time),True,0.25,1.0
w8ac31b8,Mon Apr 24 2023 20:01:45 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w110f64d,Wed Apr 26 2023 20:26:35 GMT+0530 (India Standard Time),True,0.25,1.0
wbc90b18,Mon Apr 24 2023 19:50:35 GMT-0500 (Central Daylight Time),True,0.25,1.0
wcfbfc61,Sat Apr 22 2023 10:56:33 GMT-0700 (Pacific Daylight Time),True,0.5,1.0
wd311d9f,Mon Apr 24 2023 23:43:06 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
wce05eb9,Sat Apr 22 2023 19:00:30 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wb7c7465,Sat Apr 22 2023 15:22:50 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wb46418f,Wed Apr 26 2023 07:32:57 GMT-0700 (Pacific Daylight Time),True,0.25,1.0
w1d3fc7f,Sat Apr 22 2023 13:24:50 GMT-0700 (Pacific Daylight Time),True,0.5,1.0
w057df4c,Sun Apr 23 2023 23:48:50 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
weefa60f,Sat Apr 22 2023 14:36:31 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w64b9b21,Mon Apr 24 2023 01:11:58 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w4c43cdd,Wed Apr 26 2023 07:29:14 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w5389609,Mon Apr 24 2023 20:45:42 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w1be7264,Mon Apr 24 2023 21:07:12 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w8599f53,Mon Apr 24 2023 11:41:42 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w1cb1b14,Sat Apr 22 2023 18:45:04 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w4c81fa8,Sat Apr 22 2023 13:37:30 GMT-0700 (Pacific Daylight Time),True,0.25,1.0
wd8473ec,Sat Apr 22 2023 18:36:02 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w3b06b11,Wed Apr 26 2023 09:26:57 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w792759b,Mon Apr 24 2023 13:35:30 GMT-0500 (Central Daylight Time),True,0.25,1.0
wf45ba9d,Mon Apr 24 2023 22:43:36 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
wa900b3a,Wed Apr 26 2023 20:02:10 GMT+0530 (India Standard Time),True,0.25,1.0
w620ee52,Mon Apr 24 2023 11:54:06 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w6ace753,Sun Apr 23 2023 21:35:22 GMT-0500 (Central Daylight Time),True,0.5,1.0
wb540b58,Sun Apr 23 2023 19:54:13 GMT-0700 (Pacific Daylight Time),True,0.25,1.0
w91d1b34,Sun Apr 23 2023 21:24:09 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w5379b11,Wed Apr 26 2023 07:29:48 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wced23a6,Mon Apr 24 2023 23:25:45 GMT-0700 (Pacific Daylight Time),True,0.25,1.0
wfad4264,Sun Apr 23 2023 22:47:29 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wb4519c9,Mon Apr 24 2023 11:45:42 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w9eb5e40,Mon Apr 24 2023 23:36:37 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w2342e11,Sat Apr 22 2023 22:55:50 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w80a5e12,Sun Apr 23 2023 22:56:17 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wc368eb0,Mon Apr 24 2023 22:23:25 GMT-0400 (GMT-04:00),True,0.25,1.0
w12bfa46,Mon Apr 24 2023 00:36:24 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
we4989f4,Mon Apr 24 2023 21:56:53 GMT-0500 (GMT-05:00),True,0.5,1.0
w03e6eea,Mon Apr 24 2023 20:21:04 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w06fea10,Sat Apr 22 2023 16:00:27 GMT-0500 (GMT-05:00),True,0.25,1.0
wec34513,Wed Apr 26 2023 18:48:21 GMT+0530 (India Standard Time),True,0.25,1.0
waf69a26,Sat Apr 22 2023 12:18:02 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
w1069836,Sun Apr 23 2023 00:09:09 GMT+0530 (India Standard Time),True,0.5,1.0
w2d03a29,Sat Apr 22 2023 15:40:09 GMT-0400 (Eastern Daylight Time),True,0.25,1.0
wcffd036,Wed Apr 26 2023 09:22:06 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
w59ce64e,Mon Apr 24 2023 19:41:33 GMT-0400 (Eastern Daylight Time),True,0.5,1.0
