width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,wid
,,,,,,,,,,,webgazer-calibrate,80344,.25,,,,,,,,,,w90b6a49
,,,,,,,,,,,webgazer-calibrate,266067,.25,,,,,,,,,,w90b6a49
,,,,,,,,,,,webgazer-calibrate,159964,.50,,,,,,,,,,w1069836
,,,,,,,,,,,webgazer-calibrate,367382,.50,,,,,,,,,,w1069836
,,,,,,,,,,,webgazer-calibrate,74057,.25,,,,,,,,,,w0771b87
,,,,,,,,,,,webgazer-calibrate,265752,.25,,,,,,,,,,w0771b87
,,,,,,,,,,,webgazer-calibrate,91981,.50,,,,,,,,,,w40397a8
,,,,,,,,,,,webgazer-calibrate,256138,.50,,,,,,,,,,w40397a8
,,,,,,,,,,,webgazer-calibrate,448556,.25,,,,,,,,,,wf03474e
,,,,,,,,,,,webgazer-calibrate,698302,.25,,,,,,,,,,wf03474e
,,,,,,,,,,,webgazer-calibrate,100903,.50,,,,,,,,,,w614cdc8
,,,,,,,,,,,webgazer-calibrate,289280,.50,,,,,,,,,,w614cdc8
,,,,,,,,,,,webgazer-calibrate,66356,.50,,,,,,,,,,w49099cd
,,,,,,,,,,,webgazer-calibrate,245969,.50,,,,,,,,,,w49099cd
,,,,,,,,,,,webgazer-calibrate,98033,.50,,,,,,,,,,wab4f61a
,,,,,,,,,,,webgazer-calibrate,312532,.50,,,,,,,,,,wab4f61a
,,,,,,,,,,,webgazer-calibrate,166759,.25,,,,,,,,,,wa2400fe
,,,,,,,,,,,webgazer-calibrate,383165,.25,,,,,,,,,,wa2400fe
,,,,,,,,,,,webgazer-calibrate,173699,.50,,,,,,,,,,w13fbba7
,,,,,,,,,,,webgazer-calibrate,462601,.50,,,,,,,,,,w13fbba7
,,,,,,,,,,,webgazer-calibrate,132162,.25,,,,,,,,,,w12872e3
,,,,,,,,,,,webgazer-calibrate,376046,.25,,,,,,,,,,w12872e3
,,,,,,,,,,,webgazer-calibrate,268333,.50,,,,,,,,,,w764e1f2
,,,,,,,,,,,webgazer-calibrate,466096,.50,,,,,,,,,,w764e1f2
,,,,,,,,,,,webgazer-calibrate,183317,.50,,,,,,,,,,wb71f6f0
,,,,,,,,,,,webgazer-calibrate,518377,.50,,,,,,,,,,wb71f6f0
,,,,,,,,,,,webgazer-calibrate,88303,.25,,,,,,,,,,w7815325
,,,,,,,,,,,webgazer-calibrate,272369,.25,,,,,,,,,,w7815325
,,,,,,,,,,,webgazer-calibrate,158447,.25,,,,,,,,,,w3f91209
,,,,,,,,,,,webgazer-calibrate,383814,.25,,,,,,,,,,w3f91209
,,,,,,,,,,,webgazer-calibrate,277809,.50,,,,,,,,,,w9eb5e40
,,,,,,,,,,,webgazer-calibrate,587155,.50,,,,,,,,,,w9eb5e40
,,,,,,,,,,,webgazer-calibrate,198884,.50,,,,,,,,,,wd311d9f
,,,,,,,,,,,webgazer-calibrate,480616,.50,,,,,,,,,,wd311d9f
,,,,,,,,,,,webgazer-calibrate,116647,.25,,,,,,,,,,w480a190
,,,,,,,,,,,webgazer-calibrate,473071,.25,,,,,,,,,,w480a190
,,,,,,,,,,,webgazer-calibrate,96974,.25,,,,,,,,,,wced23a6
,,,,,,,,,,,webgazer-calibrate,342715,.25,,,,,,,,,,wced23a6
,,,,,,,,,,,webgazer-calibrate,72539,.50,,,,,,,,,,we74d609
,,,,,,,,,,,webgazer-calibrate,234019,.50,,,,,,,,,,we74d609
,,,,,,,,,,,webgazer-calibrate,81057,.25,,,,,,,,,,wec34513
,,,,,,,,,,,webgazer-calibrate,262504,.25,,,,,,,,,,wec34513
,,,,,,,,,,,webgazer-calibrate,95168,.25,,,,,,,,,,w3b06b11
,,,,,,,,,,,webgazer-calibrate,266300,.25,,,,,,,,,,w3b06b11
,,,,,,,,,,,webgazer-calibrate,97478,.25,,,,,,,,,,wa900b3a
,,,,,,,,,,,webgazer-calibrate,538488,.25,,,,,,,,,,wa900b3a
,,,,,,,,,,,webgazer-calibrate,50997,.25,,,,,,,,,,w56a4125
,,,,,,,,,,,webgazer-calibrate,202763,.25,,,,,,,,,,w56a4125
,,,,,,,,,,,webgazer-calibrate,87305,.50,,,,,,,,,,w44f295b
,,,,,,,,,,,webgazer-calibrate,257969,.50,,,,,,,,,,w44f295b
,,,,,,,,,,,webgazer-calibrate,90259,.25,,,,,,,,,,w19aedb5
,,,,,,,,,,,webgazer-calibrate,266789,.25,,,,,,,,,,w19aedb5
,,,,,,,,,,,webgazer-calibrate,80791,.50,,,,,,,,,,w6bd8020
,,,,,,,,,,,webgazer-calibrate,258699,.50,,,,,,,,,,w6bd8020
,,,,,,,,,,,webgazer-calibrate,617969,.25,,,,,,,,,,w110f64d
,,,,,,,,,,,webgazer-calibrate,800758,.25,,,,,,,,,,w110f64d
