width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,wid
,,,,,,,,,,,writing,201865,.25,,,,,,,"[{'rt': 876, 'key_press': 'l'}]","kmkmlmkllklkmklkm
l,klm
klmkl
",,w90b6a49
,,,,,,,,,,,writing,287153,.50,,,,,,,"[{'rt': 13276, 'key_press': 'shift'}]",I have not nothing matter in the past two  month . But my family are very lovely and very take care of my family. My family are very helpful and very very useful of my aim and future p,,w1069836
,,,,,,,,,,,writing,196021,.25,,,,,,,"[{'rt': 774, 'key_press': 'h'}]",jbjhhbj,,w0771b87
,,,,,,,,,,,writing,217092,.50,,,,,,,"[{'rt': 1029, 'key_press': 'm'}]",mmmmmmmmmmmm,,w40397a8
,,,,,,,,,,,writing,581942,.25,,,,,,,"[{'rt': 5199, 'key_press': 'shift'}]",I worked out. I walked a mile or two everyday. That's one thing I'm proud of in my life. I like to work out and take care of my body. i like to eat healthy. I like to get lots of fruits and vegetables. Even ,,wf03474e
,,,,,,,,,,,writing,222384,.50,,,,,,,"[{'rt': 1099, 'key_press': 'f'}]",kdka,,w614cdc8
,,,,,,,,,,,writing,189771,.50,,,,,,,"[{'rt': 2366, 'key_press': 'a'}]",,,w49099cd
,,,,,,,,,,,writing,228862,.50,,,,,,,"[{'rt': 2392, 'key_press': 'o'}]","one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty 

one sheep, two sheep, three sheep, four sheep, five sheep

what do you call a beef without two front legs????
..
..
..
..
..
",,wab4f61a
,,,,,,,,,,,writing,305547,.25,,,,,,,"[{'rt': 2603, 'key_press': 'k'}]","djfkdjkfj sdkjflksdj fiejfoaijdklmc,  ijdioejfkdj hello jack! Happy has been sleeping a lot in the past two months. I let her out onto the balcony occasionally but she doesn't enjoy being out there as much as before, now that the bird feeder is no longer set up to entertain her feathery friends. It's a good thing though, that she's not obsessed with running out there at every chance she gets. kdjfkdjslk skdjflk that's all I have for you for now, if you're even logging these responses. ijelkjf kdjflksdjf ldkfjkds kjfkdjf lks",,wa2400fe
,,,,,,,,,,,writing,355789,.50,,,,,,,"[{'rt': 2363, 'key_press': 'shift'}]",My older son past month continuously he used to say ' when i was a man I had a mustache. he would randomly say those things about the things he was,,w13fbba7
,,,,,,,,,,,writing,262624,.25,,,,,,,"[{'rt': 9422, 'key_press': 'capslock'}]",In the last month i suffered a lot. I had many problems in my personnel health and mentally pressured. I tried to get well soon and still i am  trying.,,w12872e3
,,,,,,,,,,,writing,389926,.50,,,,,,,"[{'rt': 10259, 'key_press': 'n'}]",VERY NICE INCIDENTS,,w764e1f2
,,,,,,,,,,,writing,304560,.50,,,,,,,"[{'rt': 10190, 'key_press': ' '}]","  



",,wb71f6f0
,,,,,,,,,,,writing,209242,.25,,,,,,,[],,,w7815325
