width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,question_order,wid
,,,,,,,,,,,askforPermission,49533,.25,,,,,,,,,,,w3715a84
,,,,,,,,,,,askforPermission,12835,.25,,,,,,,,,,,wd429ae0
,,,,,,,,,,,askforPermission,12076,.50,,,,,,,,,,,w873e593
,,,,,,,,,,,askforPermission,65507,.50,,,,,,,,,,,w71c4994
,,,,,,,,,,,askforPermission,12504,.50,,,,,,,,,,,wf3a3126
,,,,,,,,,,,askforPermission,41484,.25,,,,,,,,,,,w88f1b11
,,,,,,,,,,,askforPermission,20061,.50,,,,,,,,,,,wda754a5
,,,,,,,,,,,askforPermission,19926,.25,,,,,,,,,,,w25aec1b
,,,,,,,,,,,askforPermission,11891,.25,,,,,,,,,,,w5dd4e7f
,,,,,,,,,,,askforPermission,43975,.50,,,,,,,,,,,w35b8034
,,,,,,,,,,,askforPermission,11631,.25,,,,,,,,,,,w22e3f04
,,,,,,,,,,,askforPermission,9369,.50,,,,,,,,,,,wf3c0714
,,,,,,,,,,,askforPermission,17739,.50,,,,,,,,,,,we3379d6
,,,,,,,,,,,askforPermission,31937,.25,,,,,,,,,,,w0597382
,,,,,,,,,,,askforPermission,20260,.50,,,,,,,,,,,wa5a8528
,,,,,,,,,,,askforPermission,9575,.50,,,,,,,,,,,wa57de13
,,,,,,,,,,,askforPermission,13663,.25,,,,,,,,,,,we98a064
,,,,,,,,,,,askforPermission,31490,.25,,,,,,,,,,,wcb7d58b
,,,,,,,,,,,askforPermission,15424,.50,,,,,,,,,,,w3ccd836
,,,,,,,,,,,askforPermission,23723,.50,,,,,,,,,,,w2c459ee
,,,,,,,,,,,askforPermission,16067,.50,,,,,,,,,,,waa2b5e3
,,,,,,,,,,,askforPermission,11423,.50,,,,,,,,,,,wbd65b7f
,,,,,,,,,,,askforPermission,11084,.50,,,,,,,,,,,wac47b86
,,,,,,,,,,,askforPermission,11871,.25,,,,,,,,,,,w0c50539
,,,,,,,,,,,askforPermission,11204,.25,,,,,,,,,,,wcdfdd8e
