width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,question_order,wid
1024.0,660.0,True,chrome,112.0.0,False,Windows 10,True,60.65,True,True,browser-check,42656,.25,,,,,,,,,,,w3715a84
1366.0,625.0,True,chrome,112.0.0,False,Windows 10,True,40.42,True,True,browser-check,1498,.25,,,,,,,,,,,wd429ae0
1025.0,627.0,True,chrome,108.0.0,False,Windows 10,True,59.84,True,True,browser-check,1016,.50,,,,,,,,,,,w873e593
1024.0,660.0,True,chrome,112.0.0,False,Windows 10,True,60.51,True,True,browser-check,998,.50,,,,,,,,,,,w71c4994
1366.0,625.0,True,chrome,112.0.0,False,Windows 10,True,40.85,True,True,browser-check,1480,.50,,,,,,,,,,,wf3a3126
1024.0,767.0,True,chrome,112.0.0,False,Windows 10,True,41.21,True,True,browser-check,1461,.25,,,,,,,,,,,w88f1b11
1600.0,749.0,True,chrome,112.0.0,False,Windows 10,True,60.83,True,True,browser-check,991,.50,,,,,,,,,,,wda754a5
1024.0,750.0,True,chrome,112.0.0,False,Mac OS,True,60.21,True,True,browser-check,1307,.25,,,,,,,,,,,w25aec1b
1027.0,771.0,True,edge-chromium,112.0.1722,False,Windows 10,True,60.89,True,True,browser-check,991,.25,,,,,,,,,,,w987db57
1600.0,749.0,True,chrome,112.0.0,False,Windows 10,True,60.75,True,True,browser-check,994,.25,,,,,,,,,,,w5dd4e7f
1600.0,749.0,True,chrome,112.0.0,False,Windows 10,True,60.96,True,True,browser-check,991,.50,,,,,,,,,,,w35b8034
1600.0,749.0,True,chrome,112.0.0,False,Windows 10,True,60.99,True,True,browser-check,992,.25,,,,,,,,,,,w22e3f04
1366.0,657.0,True,chrome,109.0.0,False,Windows 7,True,60.91,True,True,browser-check,1009,.50,,,,,,,,,,,wf3c0714
1366.0,676.0,True,chrome,111.0.0,False,Windows 10,True,61.31,True,True,browser-check,2866,.50,,,,,,,,,,,we3379d6
1504.0,694.0,True,edge-chromium,97.0.1072,False,Windows 10,True,61.72,True,True,browser-check,990,.25,,,,,,,,,,,wa18ec5e
1024.0,661.0,True,chrome,109.0.0,False,Windows 7,True,61.84,True,True,browser-check,990,.25,,,,,,,,,,,w0597382
1366.0,768.0,True,firefox,112.0.0,False,Windows 10,True,32.43,False,False,browser-check,1861,.25,,,,,,,,,,,w9c8cb9d
1366.0,657.0,True,chrome,111.0.0,False,Windows 10,True,59.7,True,True,browser-check,1018,.50,,,,,,,,,,,wa5a8528
1366.0,657.0,True,chrome,109.0.0,False,Windows 10,True,61.24,True,True,browser-check,991,.50,,,,,,,,,,,wa57de13
1366.0,657.0,True,chrome,111.0.0,False,Windows 10,True,61.53,True,True,browser-check,990,.25,,,,,,,,,,,we98a064
1024.0,652.0,True,chrome,112.0.0,False,Windows 10,True,61.11,True,True,browser-check,1211,.25,,,,,,,,,,,wcb7d58b
1366.0,676.0,True,chrome,111.0.0,False,Windows 10,True,61.83,True,True,browser-check,990,.50,,,,,,,,,,,w3ccd836
1366.0,657.0,True,chrome,112.0.0,False,Windows 10,True,61.79,True,True,browser-check,1074,.50,,,,,,,,,,,w2c459ee
1366.0,657.0,True,chrome,111.0.0,False,Windows 10,True,61.38,True,True,browser-check,995,.50,,,,,,,,,,,waa2b5e3
1366.0,657.0,True,chrome,111.0.0,False,Windows 10,True,59.41,True,True,browser-check,1024,.50,,,,,,,,,,,wbd65b7f
1366.0,657.0,True,chrome,112.0.0,False,Windows 10,True,61.56,True,True,browser-check,998,.50,,,,,,,,,,,wac47b86
1366.0,676.0,True,chrome,112.0.0,False,Windows 10,True,61.43,True,True,browser-check,1022,.25,,,,,,,,,,,w0c50539
1024.0,661.0,True,chrome,109.0.0,False,Windows 7,True,61.53,True,True,browser-check,989,.25,,,,,,,,,,,wcdfdd8e
