width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,question_order,wid
,,,,,,,,,,,fullscreen,84396,.25,,,,,,True,,,,,w3715a84
,,,,,,,,,,,fullscreen,339258,.25,,,,,,True,,,,,w3715a84
,,,,,,,,,,,fullscreen,39292,.25,,,,,,True,,,,,wd429ae0
,,,,,,,,,,,fullscreen,436777,.25,,,,,,True,,,,,wd429ae0
,,,,,,,,,,,fullscreen,62910,.50,,,,,,True,,,,,w873e593
,,,,,,,,,,,fullscreen,381502,.50,,,,,,True,,,,,w873e593
,,,,,,,,,,,fullscreen,120263,.50,,,,,,True,,,,,w71c4994
,,,,,,,,,,,fullscreen,636218,.50,,,,,,True,,,,,w71c4994
,,,,,,,,,,,fullscreen,74844,.50,,,,,,True,,,,,wf3a3126
,,,,,,,,,,,fullscreen,373117,.50,,,,,,True,,,,,wf3a3126
,,,,,,,,,,,fullscreen,136619,.25,,,,,,True,,,,,w88f1b11
,,,,,,,,,,,fullscreen,527094,.25,,,,,,True,,,,,w88f1b11
,,,,,,,,,,,fullscreen,52370,.50,,,,,,True,,,,,wda754a5
,,,,,,,,,,,fullscreen,347432,.50,,,,,,True,,,,,wda754a5
,,,,,,,,,,,fullscreen,95462,.25,,,,,,True,,,,,w25aec1b
,,,,,,,,,,,fullscreen,463309,.25,,,,,,True,,,,,w25aec1b
,,,,,,,,,,,fullscreen,37257,.25,,,,,,True,,,,,w5dd4e7f
,,,,,,,,,,,fullscreen,332660,.25,,,,,,True,,,,,w5dd4e7f
,,,,,,,,,,,fullscreen,83812,.50,,,,,,True,,,,,w35b8034
,,,,,,,,,,,fullscreen,342885,.50,,,,,,True,,,,,w35b8034
,,,,,,,,,,,fullscreen,63393,.25,,,,,,True,,,,,w22e3f04
,,,,,,,,,,,fullscreen,318053,.25,,,,,,True,,,,,w22e3f04
,,,,,,,,,,,fullscreen,121113,.50,,,,,,True,,,,,wf3c0714
,,,,,,,,,,,fullscreen,859348,.50,,,,,,True,,,,,wf3c0714
,,,,,,,,,,,fullscreen,97631,.50,,,,,,True,,,,,we3379d6
,,,,,,,,,,,fullscreen,552099,.50,,,,,,True,,,,,we3379d6
,,,,,,,,,,,fullscreen,91656,.25,,,,,,True,,,,,w0597382
,,,,,,,,,,,fullscreen,746872,.25,,,,,,True,,,,,w0597382
,,,,,,,,,,,fullscreen,45059,.50,,,,,,True,,,,,wa5a8528
,,,,,,,,,,,fullscreen,327288,.50,,,,,,True,,,,,wa5a8528
,,,,,,,,,,,fullscreen,53606,.50,,,,,,True,,,,,wa57de13
,,,,,,,,,,,fullscreen,576733,.50,,,,,,True,,,,,wa57de13
,,,,,,,,,,,fullscreen,49332,.25,,,,,,True,,,,,we98a064
,,,,,,,,,,,fullscreen,372269,.25,,,,,,True,,,,,we98a064
,,,,,,,,,,,fullscreen,114132,.25,,,,,,True,,,,,wcb7d58b
,,,,,,,,,,,fullscreen,428482,.25,,,,,,True,,,,,wcb7d58b
,,,,,,,,,,,fullscreen,72805,.50,,,,,,True,,,,,w3ccd836
,,,,,,,,,,,fullscreen,409530,.50,,,,,,True,,,,,w3ccd836
,,,,,,,,,,,fullscreen,70227,.50,,,,,,True,,,,,w2c459ee
,,,,,,,,,,,fullscreen,341632,.50,,,,,,True,,,,,w2c459ee
,,,,,,,,,,,fullscreen,54636,.50,,,,,,True,,,,,waa2b5e3
,,,,,,,,,,,fullscreen,378130,.50,,,,,,True,,,,,waa2b5e3
,,,,,,,,,,,fullscreen,31531,.50,,,,,,True,,,,,wbd65b7f
,,,,,,,,,,,fullscreen,304906,.50,,,,,,True,,,,,wbd65b7f
,,,,,,,,,,,fullscreen,35189,.50,,,,,,True,,,,,wac47b86
,,,,,,,,,,,fullscreen,334958,.50,,,,,,True,,,,,wac47b86
,,,,,,,,,,,fullscreen,51904,.25,,,,,,True,,,,,w0c50539
,,,,,,,,,,,fullscreen,355645,.25,,,,,,True,,,,,w0c50539
,,,,,,,,,,,fullscreen,50756,.25,,,,,,True,,,,,wcdfdd8e
,,,,,,,,,,,fullscreen,530734,.25,,,,,,True,,,,,wcdfdd8e
