width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,question_order,wid
,,,,,,,,,,,html-button-response,80655,.25,,5112.0,,"<div style=""width: 45%; text-align: left; margin: auto;""><p><strong>For a preliminary adjustment, please consider the following instructions: </strong></p><ol><li>Sit at a table and make sure that you could later rest your elbows on it. </li><li>Sit towards a window or lamp so that there are no shadows on your face. You might additionally turn on a desk lamp for that. <u>Avoid</u> having a window behind you. </li></ol></div><img src=""static/images/lightInstruct.png"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">",0,,,,,,w3715a84
,,,,,,,,,,,html-button-response,86465,.25,,2068.0,,"
    <p>Now you'll calibrate the eye tracking, so that the software can use the image of your eyes to predict where you are looking.</p>
    <p>You'll see a series of dots appear on the screen. Look at each dot and click on it. It takes a couple minutes to complete, but that time is factored into the 10 minutes that the experiment lasts.</p>
    ",0,,,,,,w3715a84
,,,,,,,,,,,html-button-response,309559,.25,,2172.0,,"
    <p>Now we'll re-calibrate you. Once again, you'll see a series of dots appear on the screen. Look at each dot and click on it.</p>
    ",0,,,,,,w3715a84
,,,,,,,,,,,html-button-response,36619,.25,,3606.0,,"<div style=""width: 45%; text-align: left; margin: auto;""><p><strong>For a preliminary adjustment, please consider the following instructions: </strong></p><ol><li>Sit at a table and make sure that you could later rest your elbows on it. </li><li>Sit towards a window or lamp so that there are no shadows on your face. You might additionally turn on a desk lamp for that. <u>Avoid</u> having a window behind you. </li></ol></div><img src=""static/images/lightInstruct.png"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">",0,,,,,,wd429ae0
,,,,,,,,,,,html-button-response,41235,.25,,1942.0,,"
    <p>Now you'll calibrate the eye tracking, so that the software can use the image of your eyes to predict where you are looking.</p>
    <p>You'll see a series of dots appear on the screen. Look at each dot and click on it. It takes a couple minutes to complete, but that time is factored into the 10 minutes that the experiment lasts.</p>
    ",0,,,,,,wd429ae0
,,,,,,,,,,,html-button-response,330368,.25,,3769.0,,<p>The bonus amount you will receive is either -25 or +25 cents.</p>,0,,,,,,wd429ae0
,,,,,,,,,,,html-button-response,332160,.25,,1791.0,,"
    <p>Now we'll re-calibrate you. Once again, you'll see a series of dots appear on the screen. Look at each dot and click on it.</p>
    ",0,,,,,,wd429ae0
,,,,,,,,,,,html-button-response,60022,.50,,22940.0,,"<div style=""width: 45%; text-align: left; margin: auto;""><p><strong>For a preliminary adjustment, please consider the following instructions: </strong></p><ol><li>Sit at a table and make sure that you could later rest your elbows on it. </li><li>Sit towards a window or lamp so that there are no shadows on your face. You might additionally turn on a desk lamp for that. <u>Avoid</u> having a window behind you. </li></ol></div><img src=""static/images/lightInstruct.png"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">",0,,,,,,w873e593
,,,,,,,,,,,html-button-response,66539,.50,,3625.0,,"
    <p>Now you'll calibrate the eye tracking, so that the software can use the image of your eyes to predict where you are looking.</p>
    <p>You'll see a series of dots appear on the screen. Look at each dot and click on it. It takes a couple minutes to complete, but that time is factored into the 10 minutes that the experiment lasts.</p>
    ",0,,,,,,w873e593
,,,,,,,,,,,html-button-response,333899,.50,,1646.0,,"
    <p>Now we'll re-calibrate you. Once again, you'll see a series of dots appear on the screen. Look at each dot and click on it.</p>
    ",0,,,,,,w873e593
