width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,question_order,wid
,,,,,,,,,,,instructions,47566,.25,"[{'page_index': 0, 'viewing_time': 3518}, {'page_index': 1, 'viewing_time': 1391}]",4909.0,,,,,,,,,w3715a84
,,,,,,,,,,,instructions,151284,.25,"[{'page_index': 0, 'viewing_time': 5974}]",5975.0,,,,,,,,,w3715a84
,,,,,,,,,,,instructions,307386,.25,"[{'page_index': 0, 'viewing_time': 3991}]",3991.0,,,,,,,,,w3715a84
,,,,,,,,,,,instructions,9211,.25,"[{'page_index': 0, 'viewing_time': 6496}, {'page_index': 1, 'viewing_time': 1216}]",7712.0,,,,,,,,,wd429ae0
,,,,,,,,,,,instructions,129514,.25,"[{'page_index': 0, 'viewing_time': 17590}]",17590.0,,,,,,,,,wd429ae0
,,,,,,,,,,,instructions,375456,.25,"[{'page_index': 0, 'viewing_time': 10387}]",10388.0,,,,,,,,,wd429ae0
,,,,,,,,,,,instructions,3958,.50,"[{'page_index': 0, 'viewing_time': 2936}]",2936.0,,,,,,,,,w873e593
,,,,,,,,,,,instructions,9994,.50,"[{'page_index': 0, 'viewing_time': 2543}]",2543.0,,,,,,,,,w873e593
,,,,,,,,,,,instructions,148499,.50,"[{'page_index': 0, 'viewing_time': 5159}]",5159.0,,,,,,,,,w873e593
,,,,,,,,,,,instructions,332251,.50,"[{'page_index': 0, 'viewing_time': 3108}]",3108.0,,,,,,,,,w873e593
,,,,,,,,,,,instructions,23402,.50,"[{'page_index': 0, 'viewing_time': 22400}]",22401.0,,,,,,,,,w71c4994
,,,,,,,,,,,instructions,61749,.50,"[{'page_index': 0, 'viewing_time': 27775}]",27775.0,,,,,,,,,w71c4994
,,,,,,,,,,,instructions,276733,.50,"[{'page_index': 0, 'viewing_time': 12625}]",12626.0,,,,,,,,,w71c4994
,,,,,,,,,,,instructions,619001,.50,"[{'page_index': 0, 'viewing_time': 4898}]",4899.0,,,,,,,,,w71c4994
,,,,,,,,,,,instructions,6643,.50,"[{'page_index': 0, 'viewing_time': 5161}]",5162.0,,,,,,,,,wf3a3126
,,,,,,,,,,,instructions,9891,.50,"[{'page_index': 0, 'viewing_time': 1170}]",1170.0,,,,,,,,,wf3a3126
,,,,,,,,,,,instructions,153985,.50,"[{'page_index': 0, 'viewing_time': 1186}]",1187.0,,,,,,,,,wf3a3126
,,,,,,,,,,,instructions,311368,.50,"[{'page_index': 0, 'viewing_time': 9490}]",9490.0,,,,,,,,,wf3a3126
,,,,,,,,,,,instructions,23917,.25,"[{'page_index': 0, 'viewing_time': 22453}]",22454.0,,,,,,,,,w88f1b11
,,,,,,,,,,,instructions,37770,.25,"[{'page_index': 0, 'viewing_time': 4793}]",4793.0,,,,,,,,,w88f1b11
,,,,,,,,,,,instructions,260002,.25,"[{'page_index': 0, 'viewing_time': 28619}]",28619.0,,,,,,,,,w88f1b11
