width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,question_order,wid
,,,,,,,,,,,survey,293404,.25,,22069.0,,,"{'P0_Q0': None, 'P1_Q0': None, 'bonusChoice': 'Now (before recalibration)'}",,,,[],,w3715a84
,,,,,,,,,,,survey,303394,.25,,9984.0,,,"{'P0_Q0': ""Random, either one it doesn't really matter.""}",,,,[],,w3715a84
,,,,,,,,,,,survey,339251,.25,,6312.0,,,"{'P0_Q0': None, 'age': 32, 'gender': 'female', 'P0_Q3': 'Yes'}",,,,[],,w3715a84
,,,,,,,,,,,survey,301945,.25,,52345.0,,,"{'P0_Q0': None, 'P1_Q0': None, 'bonusChoice': 'Whether the amount you won/lost was 50 cents or 25 cents (but not whether you won/lost that amount)'}",,,,[],,wd429ae0
,,,,,,,,,,,survey,326597,.25,,24640.0,,,{'P0_Q0': 'it may take a different choice'},,,,[],,wd429ae0
,,,,,,,,,,,survey,436773,.25,,61294.0,,,"{'P0_Q0': None, 'age': 31, 'gender': 'female', 'P0_Q3': 'Yes'}",,,,[],,wd429ae0
,,,,,,,,,,,survey,286281,.50,,17631.0,,,"{'P0_Q0': None, 'P1_Q0': None, 'bonusChoice': 'Now (before recalibration)'}",,,,[],,w873e593
,,,,,,,,,,,survey,329141,.50,,42800.0,,,{'P0_Q0': 'I want to know now out of impatience. '},,,,[],,w873e593
,,,,,,,,,,,survey,381448,.50,,7970.0,,,"{'P0_Q0': None, 'age': 38, 'gender': 'Male', 'P0_Q3': 'Yes'}",,,,[],,w873e593
,,,,,,,,,,,survey,466689,.50,,69873.0,,,"{'P0_Q0': None, 'P1_Q0': None, 'bonusChoice': 'Whether you won or lost money (but not how much)'}",,,,[],,w71c4994
,,,,,,,,,,,survey,527726,.50,,61027.0,,,{'P0_Q0': 'I like to know things right away. Avoid the surprises. Then I can focus on other things.'},,,,[],,w71c4994
,,,,,,,,,,,survey,636211,.50,,17182.0,,,"{'P0_Q0': None, 'age': 70, 'gender': 'male', 'P0_Q3': 'Yes'}",,,,[],,w71c4994
,,,,,,,,,,,survey,284498,.50,,10429.0,,,"{'P0_Q0': None, 'P1_Q0': None, 'bonusChoice': 'Now (before recalibration)'}",,,,[],,wf3a3126
