width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,question_order,wid
,,,,,,,,,,,webgazer-calibrate,145309,.25,,,,,,,,,,,w3715a84
,,,,,,,,,,,webgazer-calibrate,332922,.25,,,,,,,,,,,w3715a84
,,,,,,,,,,,webgazer-calibrate,111922,.25,,,,,,,,,,,wd429ae0
,,,,,,,,,,,webgazer-calibrate,365067,.25,,,,,,,,,,,wd429ae0
,,,,,,,,,,,webgazer-calibrate,143337,.50,,,,,,,,,,,w873e593
,,,,,,,,,,,webgazer-calibrate,373417,.50,,,,,,,,,,,w873e593
,,,,,,,,,,,webgazer-calibrate,264104,.50,,,,,,,,,,,w71c4994
,,,,,,,,,,,webgazer-calibrate,614100,.50,,,,,,,,,,,w71c4994
,,,,,,,,,,,webgazer-calibrate,152797,.50,,,,,,,,,,,wf3a3126
,,,,,,,,,,,webgazer-calibrate,345730,.50,,,,,,,,,,,wf3a3126
,,,,,,,,,,,webgazer-calibrate,231381,.25,,,,,,,,,,,w88f1b11
,,,,,,,,,,,webgazer-calibrate,509859,.25,,,,,,,,,,,w88f1b11
,,,,,,,,,,,webgazer-calibrate,124889,.50,,,,,,,,,,,wda754a5
,,,,,,,,,,,webgazer-calibrate,324954,.50,,,,,,,,,,,wda754a5
,,,,,,,,,,,webgazer-calibrate,204660,.25,,,,,,,,,,,w25aec1b
,,,,,,,,,,,webgazer-calibrate,452082,.25,,,,,,,,,,,w25aec1b
,,,,,,,,,,,webgazer-calibrate,103417,.25,,,,,,,,,,,w5dd4e7f
,,,,,,,,,,,webgazer-calibrate,294678,.25,,,,,,,,,,,w5dd4e7f
,,,,,,,,,,,webgazer-calibrate,148337,.50,,,,,,,,,,,w35b8034
,,,,,,,,,,,webgazer-calibrate,325558,.50,,,,,,,,,,,w35b8034
,,,,,,,,,,,webgazer-calibrate,130234,.25,,,,,,,,,,,w22e3f04
,,,,,,,,,,,webgazer-calibrate,303474,.25,,,,,,,,,,,w22e3f04
,,,,,,,,,,,webgazer-calibrate,373721,.50,,,,,,,,,,,wf3c0714
,,,,,,,,,,,webgazer-calibrate,836057,.50,,,,,,,,,,,wf3c0714
,,,,,,,,,,,webgazer-calibrate,295157,.50,,,,,,,,,,,we3379d6
,,,,,,,,,,,webgazer-calibrate,530483,.50,,,,,,,,,,,we3379d6
,,,,,,,,,,,webgazer-calibrate,342231,.25,,,,,,,,,,,w0597382
,,,,,,,,,,,webgazer-calibrate,695353,.25,,,,,,,,,,,w0597382
,,,,,,,,,,,webgazer-calibrate,137032,.50,,,,,,,,,,,wa5a8528
,,,,,,,,,,,webgazer-calibrate,313127,.50,,,,,,,,,,,wa5a8528
,,,,,,,,,,,webgazer-calibrate,283956,.50,,,,,,,,,,,wa57de13
,,,,,,,,,,,webgazer-calibrate,561568,.50,,,,,,,,,,,wa57de13
,,,,,,,,,,,webgazer-calibrate,131148,.25,,,,,,,,,,,we98a064
,,,,,,,,,,,webgazer-calibrate,338041,.25,,,,,,,,,,,we98a064
,,,,,,,,,,,webgazer-calibrate,189864,.25,,,,,,,,,,,wcb7d58b
,,,,,,,,,,,webgazer-calibrate,416394,.25,,,,,,,,,,,wcb7d58b
,,,,,,,,,,,webgazer-calibrate,183460,.50,,,,,,,,,,,w3ccd836
,,,,,,,,,,,webgazer-calibrate,382314,.50,,,,,,,,,,,w3ccd836
,,,,,,,,,,,webgazer-calibrate,158652,.50,,,,,,,,,,,w2c459ee
,,,,,,,,,,,webgazer-calibrate,333552,.50,,,,,,,,,,,w2c459ee
,,,,,,,,,,,webgazer-calibrate,141277,.50,,,,,,,,,,,waa2b5e3
,,,,,,,,,,,webgazer-calibrate,371015,.50,,,,,,,,,,,waa2b5e3
,,,,,,,,,,,webgazer-calibrate,106533,.50,,,,,,,,,,,wbd65b7f
,,,,,,,,,,,webgazer-calibrate,281837,.50,,,,,,,,,,,wbd65b7f
,,,,,,,,,,,webgazer-calibrate,131663,.50,,,,,,,,,,,wac47b86
,,,,,,,,,,,webgazer-calibrate,324761,.50,,,,,,,,,,,wac47b86
,,,,,,,,,,,webgazer-calibrate,154121,.25,,,,,,,,,,,w0c50539
,,,,,,,,,,,webgazer-calibrate,344972,.25,,,,,,,,,,,w0c50539
,,,,,,,,,,,webgazer-calibrate,262939,.25,,,,,,,,,,,wcdfdd8e
,,,,,,,,,,,webgazer-calibrate,508211,.25,,,,,,,,,,,wcdfdd8e
