width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,question_order,wid
,,,,,,,,,,,webgazer-init-camera,75530,.25,,,5214.0,,,,,,,,w3715a84
,,,,,,,,,,,webgazer-init-camera,33007,.25,,,9206.0,,,,,,,,wd429ae0
,,,,,,,,,,,webgazer-init-camera,37067,.50,,,10389.0,,,,,,,,w873e593
,,,,,,,,,,,webgazer-init-camera,104872,.50,,,6643.0,,,,,,,,w71c4994
,,,,,,,,,,,webgazer-init-camera,34727,.50,,,10511.0,,,,,,,,wf3a3126
,,,,,,,,,,,webgazer-init-camera,102196,.25,,,10112.0,,,,,,,,w88f1b11
,,,,,,,,,,,webgazer-init-camera,44628,.50,,,6092.0,,,,,,,,wda754a5
,,,,,,,,,,,webgazer-init-camera,67884,.25,,,3239.0,,,,,,,,w25aec1b
,,,,,,,,,,,webgazer-init-camera,32968,.25,,,6797.0,,,,,,,,w5dd4e7f
,,,,,,,,,,,webgazer-init-camera,80408,.50,,,6575.0,,,,,,,,w35b8034
,,,,,,,,,,,webgazer-init-camera,44394,.25,,,6543.0,,,,,,,,w22e3f04
,,,,,,,,,,,webgazer-init-camera,57623,.50,,,1481.0,,,,,,,,wf3c0714
,,,,,,,,,,,webgazer-init-camera,62591,.50,,,22248.0,,,,,,,,we3379d6
,,,,,,,,,,,webgazer-init-camera,55241,.25,,,1720.0,,,,,,,,w0597382
,,,,,,,,,,,webgazer-init-camera,35701,.50,,,5158.0,,,,,,,,wa5a8528
,,,,,,,,,,,webgazer-init-camera,39493,.50,,,1232.0,,,,,,,,wa57de13
,,,,,,,,,,,webgazer-init-camera,36598,.25,,,6184.0,,,,,,,,we98a064
,,,,,,,,,,,webgazer-init-camera,105404,.25,,,20048.0,,,,,,,,wcb7d58b
,,,,,,,,,,,webgazer-init-camera,34276,.50,,,5211.0,,,,,,,,w3ccd836
,,,,,,,,,,,webgazer-init-camera,64366,.50,,,21298.0,,,,,,,,w2c459ee
,,,,,,,,,,,webgazer-init-camera,41196,.50,,,5119.0,,,,,,,,waa2b5e3
,,,,,,,,,,,webgazer-init-camera,26398,.50,,,5019.0,,,,,,,,wbd65b7f
,,,,,,,,,,,webgazer-init-camera,28566,.50,,,6327.0,,,,,,,,wac47b86
,,,,,,,,,,,webgazer-init-camera,46361,.25,,,14900.0,,,,,,,,w0c50539
,,,,,,,,,,,webgazer-init-camera,44058,.25,,,1193.0,,,,,,,,wcdfdd8e
