width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,question_order,wid
,,,,,,,,,,,writing,271295,0.25,,,,,,,"[{'rt': 4800, 'key_press': 'shift'}]",I sent time dealing with the end of a relationship that lasted almost half my life due to infidelity on his part. Dealing with the traumas and grief associated with it hasn't been the easiest but I think I've been making progress in my healing journey. Having the ability to go 100% full no contact has been beneficial for me and I'm thankful for never getting married and I praise my birth control in never failing. I've been getting out with friends more often and doing things more spontaneously than before which has been nice. My cat has been acting weird and I'm a bit worried about her so I've been keeping watch,,,w3715a84
,,,,,,,,,,,writing,249540,0.25,,,,,,,"[{'rt': 9179, 'key_press': 'i'}]","n last month i am sad about my life because my friend love a girl and left me alone so that i am so alone and i can not handle that problem and one day i have take decision and i have left his friendship and move on, and that i ",,,wd429ae0
,,,,,,,,,,,writing,268544,0.5,,,,,,,"[{'rt': 2764, 'key_press': 'shift'}]","I spent most of my time working. Apart from that, I did not really do much. I was focused on making money to help feed and take care of my family. Because of the economy, im focused on saving money instead of spending it. Its important for me to plan ahead for the future in c",,,w873e593
,,,,,,,,,,,writing,396751,0.5,,,,,,,"[{'rt': 5303, 'key_press': 'capslock'}]",Last month my family and I went to California to go to Disneyland. We had not gone there in a long time. The neighborhood was different and parts of Disneyland had changed.It was not the busy time of the year so we went on m,,,w71c4994
,,,,,,,,,,,writing,274004,0.5,,,,,,,"[{'rt': 5679, 'key_press': 'i'}]",n last month i have go to my native place it was a village area that was a good memory to enjoy the day with full of happiness and this make me a good feel and this way my last month enjoyment,,,wf3a3126
,,,,,,,,,,,writing,380029,0.25,,,,,,,"[{'rt': 3307, 'key_press': 'capslock'}]","During the past month, a lot happened at my workplace. I was to promoted to a senior level supervisor and was kept in charge of four teams. Although I felt this as a challenge, I really saw it as a career growth and moderated my professionalism upwards. I also paid a trip to Texas last month and greatly enjoyed the regi",,,w88f1b11
,,,,,,,,,,,writing,247447,0.5,,,,,,,"[{'rt': 4384, 'key_press': 't'}]",the last month was very enjoyable to me. my partner was living to me in hole month and we vacation in the month. very well to our lovable memories and relationship and ,,,wda754a5
,,,,,,,,,,,writing,335955,0.25,,,,,,,"[{'rt': 3655, 'key_press': 'shift'}]","It's been a weird two months for me. I was in mandatory divorce mediation with my husband which all happened over Zoom and was dreadful. Separately, I had to appear via Zoom in front of the judge for the final dissolution of the marriage. During this time I also spent two weeks doing non-profit work in Southeast Asia which was completely amazing and really a lot of fun. Now, I'm back at work trying to get all of my accounts updated now that the divorce is finalize",,,w25aec1b
,,,,,,,,,,,writing,224605,0.25,,,,,,,"[{'rt': 2784, 'key_press': 't'}]",he last month was promotion to my office and i treat with my co workers. my job position was improve in very small time. because my effort was very hard. i really joy in last month. ,,,w5dd4e7f
,,,,,,,,,,,writing,271603,0.5,,,,,,,"[{'rt': 2443, 'key_press': 't'}]",he last month i have a financial issue and loss my money. later i need help for money. my friend are very helpfull to me in that time. so i clear the financial issue. and i work to saving my ,,,w35b8034
,,,,,,,,,,,writing,252213,0.25,,,,,,,"[{'rt': 1934, 'key_press': 't'}]",he last month i really liked one and more than memorize the month. my lovable partner was relation to me and we are going our vacation and spend more times. that was owned my heart in the last month. i love more then that ti,,,w22e3f04
,,,,,,,,,,,writing,503572,0.5,,,,,,,"[{'rt': 12680, 'key_press': 't'}]",that is good memory of the moment.very enjoyment.,,,wf3c0714
,,,,,,,,,,,writing,424413,0.5,,,,,,,"[{'rt': 11950, 'key_press': 'shift'}]",In my last month I am going to travel with my friends in Newyork. That two days very enjoyment and very excitement also. because My life is very short nanba So I like and I love ,,,we3379d6
,,,,,,,,,,,writing,482192,0.25,,,,,,,"[{'rt': 17284, 'key_press': 'i'}]",in the past month month i have gone to watch severl movies and that was all very nice and very excited movies and i went to theme park with my family b,,,w0597382
,,,,,,,,,,,writing,258783,0.5,,,,,,,"[{'rt': 17916, 'key_press': 'l'}]",last month I am enjoy my gang with outing and  enjoy the moment,,,wa5a8528
,,,,,,,,,,,writing,409051,0.5,,,,,,,"[{'rt': 7575, 'key_press': 'n'}]",nothing,,,wa57de13
,,,,,,,,,,,writing,252766,0.25,,,,,,,"[{'rt': 2833, 'key_press': 'l'}]",last month i am enjoy my gang outing and enjoy the moment ,,,we98a064
,,,,,,,,,,,writing,313066,0.25,,,,,,,"[{'rt': 6953, 'key_press': 'shift'}]","I Go to outing with My Family.














",,,wcb7d58b
,,,,,,,,,,,writing,310807,0.5,,,,,,,"[{'rt': 20008, 'key_press': 'l'}]",last month i was enjoyed with my gang with outing and enjoy the moment.  ,,,w3ccd836
