width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,response,question_order,load_time,stimulus,success,key_strokes,final_text,accuracy,wid
,,,,,,,,,,,fullscreen,50843,.25,,,,,,,True,,,,w5a3f683
,,,,,,,,,,,fullscreen,377503,.25,,,,,,,True,,,,w5a3f683
,,,,,,,,,,,fullscreen,50196,.25,,,,,,,True,,,,w669f226
,,,,,,,,,,,fullscreen,351280,.25,,,,,,,True,,,,w669f226
,,,,,,,,,,,fullscreen,51514,.25,,,,,,,True,,,,wc81b066
,,,,,,,,,,,fullscreen,404401,.25,,,,,,,True,,,,wc81b066
,,,,,,,,,,,fullscreen,54605,.25,,,,,,,True,,,,w9e4935e
,,,,,,,,,,,fullscreen,332335,.25,,,,,,,True,,,,w9e4935e
,,,,,,,,,,,fullscreen,178627,.25,,,,,,,True,,,,w958edfc
,,,,,,,,,,,fullscreen,480561,.25,,,,,,,True,,,,w958edfc
,,,,,,,,,,,fullscreen,42055,.50,,,,,,,True,,,,w08c798a
,,,,,,,,,,,fullscreen,346354,.50,,,,,,,True,,,,w08c798a
