width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,response,question_order,load_time,stimulus,success,key_strokes,final_text,accuracy,wid
,,,,,,,,,,,instructions,5507,.25,"[{'page_index': 0, 'viewing_time': 4519}]",4519.0,,,,,,,,,w5a3f683
,,,,,,,,,,,instructions,12312,.25,"[{'page_index': 0, 'viewing_time': 2158}]",2159.0,,,,,,,,,w5a3f683
,,,,,,,,,,,instructions,157521,.25,"[{'page_index': 0, 'viewing_time': 10907}]",10908.0,,,,,,,,,w5a3f683
,,,,,,,,,,,instructions,361518,.25,"[{'page_index': 0, 'viewing_time': 4007}]",4007.0,,,,,,,,,w5a3f683
,,,,,,,,,,,instructions,7036,.25,"[{'page_index': 0, 'viewing_time': 6034}]",6035.0,,,,,,,,,w669f226
,,,,,,,,,,,instructions,17835,.25,"[{'page_index': 0, 'viewing_time': 4326}]",4326.0,,,,,,,,,w669f226
,,,,,,,,,,,instructions,146569,.25,"[{'page_index': 0, 'viewing_time': 6724}]",6725.0,,,,,,,,,w669f226
,,,,,,,,,,,instructions,299783,.25,"[{'page_index': 0, 'viewing_time': 3013}]",3014.0,,,,,,,,,w669f226
,,,,,,,,,,,instructions,6774,.25,"[{'page_index': 0, 'viewing_time': 6408}]",6408.0,,,,,,,,,wc81b066
,,,,,,,,,,,instructions,15031,.25,"[{'page_index': 0, 'viewing_time': 2150}]",2150.0,,,,,,,,,wc81b066
,,,,,,,,,,,instructions,138148,.25,"[{'page_index': 0, 'viewing_time': 9212}]",9212.0,,,,,,,,,wc81b066
,,,,,,,,,,,instructions,394711,.25,"[{'page_index': 0, 'viewing_time': 4660}]",4661.0,,,,,,,,,wc81b066
,,,,,,,,,,,instructions,5399,.25,"[{'page_index': 0, 'viewing_time': 4412}]",4412.0,,,,,,,,,w9e4935e
,,,,,,,,,,,instructions,17696,.25,"[{'page_index': 0, 'viewing_time': 3406}]",3407.0,,,,,,,,,w9e4935e
,,,,,,,,,,,instructions,120858,.25,"[{'page_index': 0, 'viewing_time': 7806}]",7806.0,,,,,,,,,w9e4935e
,,,,,,,,,,,instructions,319594,.25,"[{'page_index': 0, 'viewing_time': 5674}]",5674.0,,,,,,,,,w9e4935e
,,,,,,,,,,,instructions,6657,.25,"[{'page_index': 0, 'viewing_time': 5641}]",5641.0,,,,,,,,,w958edfc
,,,,,,,,,,,instructions,14937,.25,"[{'page_index': 0, 'viewing_time': 1510}]",1510.0,,,,,,,,,w958edfc
,,,,,,,,,,,instructions,244145,.25,"[{'page_index': 0, 'viewing_time': 5302}]",5302.0,,,,,,,,,w958edfc
,,,,,,,,,,,instructions,474140,.25,"[{'page_index': 0, 'viewing_time': 2129}]",2129.0,,,,,,,,,w958edfc
,,,,,,,,,,,instructions,2844,.50,"[{'page_index': 0, 'viewing_time': 1828}]",1828.0,,,,,,,,,w08c798a
,,,,,,,,,,,instructions,11006,.50,"[{'page_index': 0, 'viewing_time': 3095}]",3095.0,,,,,,,,,w08c798a
,,,,,,,,,,,instructions,123456,.50,"[{'page_index': 0, 'viewing_time': 7974}]",7974.0,,,,,,,,,w08c798a
,,,,,,,,,,,instructions,338023,.50,"[{'page_index': 0, 'viewing_time': 2392}]",2392.0,,,,,,,,,w08c798a
