width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,response,question_order,load_time,stimulus,success,key_strokes,final_text,accuracy,wid
,,,,,,,,,,,survey,305655,.25,,28076.0,"{'P0_Q0': None, 'P1_Q0': None, 'bonusChoice': 'After recalibration'}",,,,,,,[],w5a3f683
,,,,,,,,,,,survey,319226,.25,,13562.0,"{'P0_Q0': ""I was fine waiting, it wasn't a big deal to know right now. ""}",,,,,,,[],w5a3f683
,,,,,,,,,,,survey,377500,.25,,15944.0,"{'P0_Q0': None, 'age': 47, 'gender': 'male', 'P0_Q3': 'Yes'}",,,,,,,[],w5a3f683
,,,,,,,,,,,survey,288107,.25,,21501.0,"{'P0_Q0': None, 'P1_Q0': None, 'bonusChoice': 'Now (before recalibration)'}",,,,,,,[],w669f226
,,,,,,,,,,,survey,296769,.25,,8658.0,"{'P0_Q0': ""I'm impatient""}",,,,,,,[],w669f226
,,,,,,,,,,,survey,351276,.25,,8816.0,"{'P0_Q0': None, 'age': 30, 'gender': 'female', 'P0_Q3': 'Yes'}",,,,,,,[],w669f226
,,,,,,,,,,,survey,321659,.25,,63463.0,"{'P0_Q0': None, 'P1_Q0': None, 'bonusChoice': 'Whether you won or lost money (but not how much)'}",,,,,,,[],wc81b066
,,,,,,,,,,,survey,353933,.25,,32265.0,"{'P0_Q0': 'I just wanted to know if I lost, not actual hard thoughts. '}",,,,,,,[],wc81b066
,,,,,,,,,,,survey,404397,.25,,9664.0,"{'P0_Q0': None, 'age': 43, 'gender': 'male', 'P0_Q3': 'Yes'}",,,,,,,[],wc81b066
,,,,,,,,,,,survey,272684,.25,,31757.0,"{'P0_Q0': None, 'P1_Q0': None, 'bonusChoice': 'After recalibration'}",,,,,,,[],w9e4935e
,,,,,,,,,,,survey,286271,.25,,13579.0,{'P0_Q0': 'Why not??'},,,,,,,[],w9e4935e
,,,,,,,,,,,survey,332330,.25,,12720.0,"{'P0_Q0': None, 'age': 49, 'gender': 'Female', 'P0_Q3': 'Yes'}",,,,,,,[],w9e4935e
,,,,,,,,,,,survey,401533,.25,,37350.0,"{'P0_Q0': None, 'P1_Q0': None, 'bonusChoice': 'Whether you won or lost money (but not how much)'}",,,,,,,[],w958edfc
,,,,,,,,,,,survey,438823,.25,,37283.0,"{'P0_Q0': ""I like to know whether I've won or lost, the amount I won/lost is miniscule.""}",,,,,,,[],w958edfc
,,,,,,,,,,,survey,480559,.25,,6403.0,"{'P0_Q0': None, 'age': 24, 'gender': 'Female', 'P0_Q3': 'Yes'}",,,,,,,[],w958edfc
,,,,,,,,,,,survey,274592,.50,,31060.0,"{'P0_Q0': None, 'P1_Q0': None, 'bonusChoice': 'Whether you won or lost money (but not how much)'}",,,,,,,[],w08c798a
,,,,,,,,,,,survey,298862,.50,,24261.0,"{'P0_Q0': ""I just wanted to know if I won. I don't care the amount, especially if I don't know if it is positive or negative. ""}",,,,,,,[],w08c798a
,,,,,,,,,,,survey,346350,.50,,8301.0,"{'P0_Q0': None, 'age': 20, 'gender': 'female ', 'P0_Q3': 'Yes'}",,,,,,,[],w08c798a
