width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,response,question_order,load_time,stimulus,success,key_strokes,final_text,accuracy,wid
,,,,,,,,,,,webgazer-calibrate,146613,.25,,,,,,,,,,,w5a3f683
,,,,,,,,,,,webgazer-calibrate,357509,.25,,,,,,,,,,,w5a3f683
,,,,,,,,,,,webgazer-calibrate,139842,.25,,,,,,,,,,,w669f226
,,,,,,,,,,,webgazer-calibrate,342448,.25,,,,,,,,,,,w669f226
,,,,,,,,,,,webgazer-calibrate,128935,.25,,,,,,,,,,,wc81b066
,,,,,,,,,,,webgazer-calibrate,390049,.25,,,,,,,,,,,wc81b066
,,,,,,,,,,,webgazer-calibrate,113050,.25,,,,,,,,,,,w9e4935e
,,,,,,,,,,,webgazer-calibrate,313918,.25,,,,,,,,,,,w9e4935e
,,,,,,,,,,,webgazer-calibrate,238842,.25,,,,,,,,,,,w958edfc
,,,,,,,,,,,webgazer-calibrate,472010,.25,,,,,,,,,,,w958edfc
,,,,,,,,,,,webgazer-calibrate,115480,.50,,,,,,,,,,,w08c798a
,,,,,,,,,,,webgazer-calibrate,335630,.50,,,,,,,,,,,w08c798a
